1,"Argentina","ARG"
2,"Bolivia","BOL"
3,"Brasil","BRA"
4,"Chile","CHI"
5,"Colombia","COL"
6,"Costa Rica","CRC"
7,"Cuba","CUB"
8,"Dominica","DOM"
9,"República Dominicana","RDM"
10,"Ecuador","ECU"
11,"El Salvador","ESL"
12,"Guatemala","GUA"
13,"Haití","HAI"
14,"Honduras","HON"
15,"México","MEX"
16,"Nicaragua","NIC"
17,"Panamá","PAN"
18,"Paraguay","PAR"
19,"Perú","PER"
20,"Puerto Rico","PRC"
21,"Uruguay","URU"
22,"Venezuela","VEN"
